number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_od_wait,params_random_strength,state
77,0.8598187311178248,2025-08-01 09:13:56.762918,2025-08-01 09:14:00.620429,0 days 00:00:03.857511,0.23250160630197264,Bayesian,8,681,0.00573518553530315,0.004976297958138784,Iter,26,1.1585587378482331e-05,COMPLETE
78,0.8603021148036254,2025-08-01 09:14:00.621287,2025-08-01 09:14:04.439558,0 days 00:00:03.818271,0.5191570508121284,Bayesian,8,667,0.021931024249736343,0.006278054801467704,Iter,22,3.2243102753735224e-05,COMPLETE
79,0.8558308157099698,2025-08-01 09:14:04.440024,2025-08-01 09:14:08.166816,0 days 00:00:03.726792,1.3849114103857063,Bayesian,8,613,0.11312357957241322,0.0065525826930897665,Iter,25,0.00023361215341247436,COMPLETE
80,0.8437462235649547,2025-08-01 09:14:08.167580,2025-08-01 09:14:12.146285,0 days 00:00:03.978705,6.639446420344442,Bayesian,8,702,0.06871759295338806,0.004330862886891218,Iter,27,3.670448472559587e-05,COMPLETE
81,0.8584894259818732,2025-08-01 09:14:12.146730,2025-08-01 09:14:16.300302,0 days 00:00:04.153572,0.199393522788271,Bayesian,8,727,0.015263108203963233,0.007716196262231594,Iter,28,8.41041086409868e-05,COMPLETE
82,0.8611480362537764,2025-08-01 09:14:16.307964,2025-08-01 09:14:19.620577,0 days 00:00:03.312613,0.25332627422189863,Bayesian,8,598,0.02491847162392246,0.004978886147728023,Iter,23,0.0009188229618634696,COMPLETE
83,0.8601812688821753,2025-08-01 09:14:19.621055,2025-08-01 09:14:23.216946,0 days 00:00:03.595891,0.5424701646132983,Bayesian,8,655,0.031142254903013332,0.005418091182932438,Iter,22,0.0006637538939984509,COMPLETE
84,0.8325075528700906,2025-08-01 09:14:23.217375,2025-08-01 09:14:25.984263,0 days 00:00:02.766888,8.071911870401367,Bayesian,7,589,0.004886957820474582,0.005981253051997777,Iter,19,8.648253417437906e-06,COMPLETE
85,0.8588519637462235,2025-08-01 09:14:25.984770,2025-08-01 09:14:29.421812,0 days 00:00:03.437042,0.03012814796980065,Bayesian,8,625,0.0013245151113022158,0.006841456626960951,Iter,22,4.024230060446284e-06,COMPLETE
86,0.8563141993957704,2025-08-01 09:14:29.422490,2025-08-01 09:14:32.016031,0 days 00:00:02.593541,0.25722219168442384,Bayesian,7,549,0.15168362276603947,0.005171014486300093,Iter,25,3.4222488827803924e-05,COMPLETE
87,0.8593353474320242,2025-08-01 09:14:32.017170,2025-08-01 09:14:35.959734,0 days 00:00:03.942564,0.5545266173224596,Bayesian,8,709,0.03162330299317619,0.00897553510399872,Iter,29,0.0001677079696287968,COMPLETE
88,0.8588519637462235,2025-08-01 09:14:35.960172,2025-08-01 09:14:41.108171,0 days 00:00:05.147999,1.3100381632170746,Bayesian,9,690,0.19616164354744783,0.008105657976499566,Iter,23,0.00011811251666040857,COMPLETE
89,0.8569184290030212,2025-08-01 09:14:41.110662,2025-08-01 09:14:43.869251,0 days 00:00:02.758589,0.9766518165860827,Bayesian,8,502,0.003191188522144537,0.003873268342740901,Iter,20,1.0719369311400248e-05,COMPLETE
90,0.8558308157099698,2025-08-01 09:14:43.869712,2025-08-01 09:14:47.007400,0 days 00:00:03.137688,0.017305319343359105,Bayesian,7,666,0.07918464129450838,0.0045211308927648255,Iter,25,0.002667286736150258,COMPLETE
91,0.8584894259818732,2025-08-01 09:14:47.007858,2025-08-01 09:14:51.546140,0 days 00:00:04.538282,0.36721975615160546,Bayesian,8,800,0.010560403495290045,0.004716425919078328,Iter,28,4.7801463468762736e-05,COMPLETE
92,0.8595770392749245,2025-08-01 09:14:51.548204,2025-08-01 09:14:56.402448,0 days 00:00:04.854244,0.2653911502617931,Bayesian,8,846,0.024669429140224887,0.0025585654539270757,Iter,26,0.000667548471998965,COMPLETE
93,0.8564350453172206,2025-08-01 09:14:56.403391,2025-08-01 09:15:00.619151,0 days 00:00:04.215760,0.5006573416267937,Bayesian,8,736,0.0005816747278285012,0.006038676285718922,Iter,29,7.505137109955564e-05,COMPLETE
94,0.8589728096676738,2025-08-01 09:15:00.620916,2025-08-01 09:15:04.966492,0 days 00:00:04.345576,0.8465972704869376,Bayesian,8,778,0.0027172095601227637,0.004018893486678989,Iter,27,5.749722701921538e-06,COMPLETE
95,0.8615105740181269,2025-08-01 09:15:04.967021,2025-08-01 09:15:08.833786,0 days 00:00:03.866765,0.24868525699951416,Bayesian,8,635,0.007366821174500065,0.005115097551134914,Iter,31,2.4804398067667e-06,COMPLETE
96,0.8590936555891239,2025-08-01 09:15:08.836315,2025-08-01 09:15:12.138601,0 days 00:00:03.302286,1.144720206062615,Bayesian,8,583,0.04615458633247291,0.010642063163583895,Iter,31,2.071367910933177e-06,COMPLETE
97,0.8580060422960725,2025-08-01 09:15:12.139062,2025-08-01 09:15:17.456503,0 days 00:00:05.317441,0.6331715209036751,Bayesian,9,640,0.007159269345209063,0.007219142646621045,Iter,30,4.3845028688860345e-06,COMPLETE
98,0.8500302114803625,2025-08-01 09:15:17.458428,2025-08-01 09:15:20.444532,0 days 00:00:02.986104,1.5105633110991459,Bayesian,7,607,0.6959203550775884,0.002853333001350289,Iter,23,7.664243336379913e-07,COMPLETE
99,0.860785498489426,2025-08-01 09:15:20.444936,2025-08-01 09:15:24.341502,0 days 00:00:03.896566,0.17016882887768991,Bayesian,8,709,0.01666916392971425,0.005554533186276907,Iter,26,2.48730747193654e-05,COMPLETE
